,video_name,video_year,video_link,name,artist,album,img,duration,tags,missing
82,McBeth - Mark Gonzales - The Journal,2006,https://www.skatevideosite.com/videos/mcbeth-mark-gonzales-the-journal,Macbeth,Ciccone Youth,The Whitey Album,https://lastfm.freetls.fastly.net/i/u/34s/e991751bba275f97c14596b18fa831ab.png,328000,noise rock||experimental||noise||alternative||post-punk,False
0,McBeth - Mark Gonzales - The Journal,2006,https://www.skatevideosite.com/videos/mcbeth-mark-gonzales-the-journal,Macbeth,Ciccone Youth,The Whitey Album,https://lastfm.freetls.fastly.net/i/u/34s/e991751bba275f97c14596b18fa831ab.png,328000,noise rock||experimental||noise||alternative||post-punk,False
49,Transworld - The Cinematographer Project,2012,https://www.skatevideosite.com/videos/transworld-the-cinematographer-project,Vanished,Crystal Castles,Crystal Castles,https://lastfm.freetls.fastly.net/i/u/34s/0fdeae803af741d2c18fe400eb9aa575.png,304000,electronic||electronica||8-bit||electro||new rave,False
131,Transworld - The Cinematographer Project,2012,https://www.skatevideosite.com/videos/transworld-the-cinematographer-project,Vanished,Crystal Castles,Crystal Castles,https://lastfm.freetls.fastly.net/i/u/34s/0fdeae803af741d2c18fe400eb9aa575.png,304000,electronic||electronica||8-bit||electro||new rave,False
90,"Supreme - ""cherry""",2014,https://www.skatevideosite.com/videos/supreme-cherry,Glaciers Of Ice,Raekwon,Only Built 4 Cuban Linx Instrumentals,https://lastfm.freetls.fastly.net/i/u/34s/c563dc3e858c467ab4c30b7169c3738c.png,85000,Hip-Hop||wu-tang||Raekwon||hip hop||mafioso rap,False
12,Joyride,2014,https://www.skatevideosite.com/videos/joyride,Sacred Love,Bad Brains,I Against I,https://lastfm.freetls.fastly.net/i/u/34s/6e0bba9d70edb3ebca033d64e0df6ef9.png,0,hardcore||punk||hardcore punk||80s||alternative rock,True
11,Joyride,2014,https://www.skatevideosite.com/videos/joyride,Little Town Flirt,Del Shannon,Little Town Flirt,https://lastfm.freetls.fastly.net/i/u/34s/bd58514170944747822a40da7245b534.png,165000,60s||oldies||rock n roll||golden oldies||Rock and Roll,False
10,"Supreme - ""cherry""",2014,https://www.skatevideosite.com/videos/supreme-cherry,666,Salem,$KvR3 1,https://lastfm.freetls.fastly.net/i/u/34s/d0c469268ea54d83aed65845aeb89680.png,168000,,True
9,"Supreme - ""cherry""",2014,https://www.skatevideosite.com/videos/supreme-cherry,Baby Pa,Group Home,Livin' Proof,https://lastfm.freetls.fastly.net/i/u/34s/72b60c8c448248f2c8269b0a48f76d9f.png,192000,Hip-Hop||hip hop||Brooklyn||Dope||NYC,False
83,"Supreme - ""cherry""",2014,https://www.skatevideosite.com/videos/supreme-cherry,I Wanna Get High,Cypress Hill,Black Sunday,https://lastfm.freetls.fastly.net/i/u/34s/9f1257a53795675891dad75becddaf11.png,174000,Hip-Hop||rap||hip hop||chillout||Cypress Hill,False
84,"Supreme - ""cherry""",2014,https://www.skatevideosite.com/videos/supreme-cherry,Stop,Jane's Addiction,Up from the Catacombs: the Best of Jane's Addiction,https://lastfm.freetls.fastly.net/i/u/34s/df1ba9d0fb7544c6c4f071b2f58ef2c8.png,253000,alternative rock||alternative||90s||rock||janes addiction,False
85,"Supreme - ""cherry""",2014,https://www.skatevideosite.com/videos/supreme-cherry,Cold,The Cure,Pornography,https://lastfm.freetls.fastly.net/i/u/34s/dcf7ccf93e1c445583ff952f49eb7a5d.png,258000,new wave||post-punk||Gothic Rock||80s||Gothic,False
86,"Supreme - ""cherry""",2014,https://www.skatevideosite.com/videos/supreme-cherry,I Don't Know Dem,Chief Keef,Back From The Dead,https://lastfm.freetls.fastly.net/i/u/34s/00982bab3aae4dacb671a4bf0682624a.png,238000,bop||Gangsta Rap||best song ever||cloud rap||drill,False
87,"Supreme - ""cherry""",2014,https://www.skatevideosite.com/videos/supreme-cherry,Vacuum,Gang Gang Dance,Saint Dymphna,https://lastfm.freetls.fastly.net/i/u/34s/0f44877f81ea443585cd6c9074b9ac0e.png,253000,my bloody valentine||Dreamy||noise||instrumental||Experimental Rock,False
88,"Supreme - ""cherry""",2014,https://www.skatevideosite.com/videos/supreme-cherry,Fuck Fox News,Andrew Eliopoulos,,,,,True
91,"Supreme - ""cherry""",2014,https://www.skatevideosite.com/videos/supreme-cherry,Baby Pa,Group Home,Livin' Proof,https://lastfm.freetls.fastly.net/i/u/34s/72b60c8c448248f2c8269b0a48f76d9f.png,192000,Hip-Hop||hip hop||Brooklyn||Dope||NYC,False
